# dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
5.367205012589693069e-03,9.259048849344253540e-03,5.931174382567405701e-03,-3.422598354518413544e-03,5.601671291515231133e-04,-1.400048844516277313e-03,-1.325181685388088226e-02,9.784942492842674255e-03,2.508406061679124832e-03,-6.841449998319149017e-03,-2.033547498285770416e-04,-1.947924867272377014e-02,2.228425815701484680e-03,-5.576485767960548401e-03,-1.390776596963405609e-03,1.790830492973327637e-02,2.762290649116039276e-03,-9.770624637603759766e-01,-6.687515415251255035e-03,-2.370050642639398575e-03,-1.920917071402072906e-03,5.639725364744663239e-03,1.354332640767097473e-02,1.003988087177276611e-03,-3.614694811403751373e-03,-7.938770577311515808e-03,-9.730724617838859558e-03,-6.128067150712013245e-03,1.170536503195762634e-03,3.992163110524415970e-03,-6.707459688186645508e-04,2.449752762913703918e-03
3.711967263370752335e-03,8.214879781007766724e-03,5.819978192448616028e-03,-3.168019466102123260e-03,3.687840653583407402e-04,-1.201185397803783417e-03,-1.191175915300846100e-02,1.620583049952983856e-02,2.641248516738414764e-03,-5.618714727461338043e-03,-5.601183511316776276e-04,-1.895380392670631409e-02,2.386638429015874863e-03,-3.743415465578436852e-03,-2.071915194392204285e-03,2.652239054441452026e-02,1.664294861257076263e-03,-9.186353087425231934e-01,-3.497504396364092827e-03,-4.199827555567026138e-03,1.062805764377117157e-03,5.160504020750522614e-03,1.131698861718177795e-02,3.837600350379943848e-03,-4.188614897429943085e-03,-5.953805521130561829e-03,-9.766547940671443939e-03,-6.677525117993354797e-03,-7.958356291055679321e-04,5.824760068207979202e-03,-1.276876777410507202e-03,2.603920176625251770e-03
3.785651642829179764e-03,8.340958505868911743e-03,6.020149216055870056e-03,-2.580094151198863983e-03,-6.504702614620327950e-04,-1.461970619857311249e-03,-1.081104949116706848e-02,9.174859151244163513e-03,2.443094272166490555e-03,-6.165898405015468597e-03,3.950437530875205994e-05,-2.211241051554679871e-02,3.861309960484504700e-03,-2.662148093804717064e-03,-4.356362856924533844e-03,3.021129965782165527e-02,-2.459064126014709473e-04,-8.271244168281555176e-01,-4.136898554861545563e-03,-3.064228687435388565e-03,6.817514076828956604e-04,4.781276918947696686e-03,1.041703298687934875e-02,3.281444311141967773e-03,-3.988865762948989868e-03,-6.069147959351539612e-03,-4.709865897893905640e-03,-5.598099902272224426e-03,9.705629199743270874e-04,6.253697443753480911e-03,-2.615045756101608276e-03,2.532148733735084534e-03
3.602378536015748978e-03,9.484220296144485474e-03,6.733050569891929626e-03,-5.018218071199953556e-04,1.550401444546878338e-03,-1.294044777750968933e-04,-1.408644020557403564e-02,1.877664029598236084e-02,2.073728013783693314e-03,-8.270516991615295410e-03,-9.800777770578861237e-04,-2.282021567225456238e-02,8.579305140301585197e-04,-6.033301353454589844e-03,-1.711753197014331818e-03,2.842955663800239563e-02,-4.793582484126091003e-04,-8.599219918251037598e-01,-5.241327919065952301e-03,-1.509810332208871841e-03,1.575236208736896515e-03,2.937049604952335358e-03,1.246995106339454651e-02,5.388446152210235596e-03,-3.382088616490364075e-03,-6.775824353098869324e-03,-1.019356213510036469e-02,-6.184311583638191223e-03,-1.868912950158119202e-03,7.165544200688600540e-03,-4.511952400207519531e-03,7.219482213258743286e-04
7.911422289907932281e-04,8.151862770318984985e-03,6.862869486212730408e-03,-2.872440032660961151e-03,2.096998505294322968e-03,-1.419573090970516205e-03,-1.341710425913333893e-02,2.351888082921504974e-02,3.130413824692368507e-04,-8.186488412320613861e-03,-1.421854831278324127e-04,-1.622153818607330322e-02,3.566461382433772087e-04,-3.365374868735671043e-03,-2.118657343089580536e-03,2.437610179185867310e-02,2.872364595532417297e-03,-7.930846810340881348e-01,-5.337529815733432770e-03,-3.071507904678583145e-03,-1.435959711670875549e-03,3.614665009081363678e-03,9.543348103761672974e-03,2.543479204177856445e-03,-2.223312854766845703e-03,-5.651114508509635925e-03,-8.119014091789722443e-03,-3.343017771840095520e-03,-9.436402469873428345e-04,7.058799732476472855e-03,-2.979088574647903442e-03,3.914255648851394653e-04
1.231840346008539200e-03,7.080975919961929321e-03,7.141528651118278503e-03,-1.231002621352672577e-03,-1.670909230597317219e-03,-7.871510460972785950e-04,-1.033814996480941772e-02,1.537558343261480331e-02,1.406090916134417057e-03,-7.679928559809923172e-03,1.136647071689367294e-03,-9.792115539312362671e-03,1.288846018724143505e-03,-8.078326936811208725e-04,-3.179908730089664459e-03,2.873761206865310669e-02,9.048823267221450806e-05,-8.320998549461364746e-01,-5.457536317408084869e-03,-3.244342748075723648e-03,-3.567964304238557816e-03,4.667514003813266754e-03,9.764526039361953735e-03,5.049005150794982910e-03,-3.888897597789764404e-03,-5.814364179968833923e-03,-7.055485621094703674e-03,-3.285953775048255920e-03,-3.019906580448150635e-05,5.360424984246492386e-03,-2.252846956253051758e-03,4.351617768406867981e-03
2.116930205374956131e-03,7.657293230295181274e-03,5.529357120394706726e-03,-2.673669718205928802e-03,-1.052548293955624104e-03,-1.955340616405010223e-03,-8.787263184785842896e-03,3.228742629289627075e-03,2.985754050314426422e-03,-6.454555317759513855e-03,7.080077193677425385e-04,-1.412439718842506409e-02,3.266638144850730896e-03,-1.169172814115881920e-03,-2.750606276094913483e-03,2.187922596931457520e-02,2.591271884739398956e-03,-8.054630756378173828e-01,-5.784885026514530182e-03,-2.395609859377145767e-03,-2.022495958954095840e-03,3.989555872976779938e-03,7.784370332956314087e-03,5.048498511314392090e-03,-3.141832537949085236e-03,-4.147527739405632019e-03,-8.993575349450111389e-03,-5.149060860276222229e-03,4.361029714345932007e-04,5.543306935578584671e-03,-4.644244909286499023e-04,2.753043547272682190e-03
3.487812820822000504e-03,7.476408034563064575e-03,2.931473776698112488e-03,-4.741053096950054169e-03,-1.857114140875637531e-03,-6.354684010148048401e-04,-9.866300970315933228e-03,-3.340329974889755249e-03,9.202520595863461494e-04,-6.106091663241386414e-03,-5.863294936716556549e-04,-1.631538942456245422e-02,1.415935228578746319e-03,-3.723107045516371727e-03,-1.708333380520343781e-03,4.480719566345214844e-03,3.761657513678073883e-03,-8.007575869560241699e-01,-3.783517284318804741e-03,-1.368322409689426422e-04,-1.282710582017898560e-03,6.268539465963840485e-03,8.048340678215026855e-03,4.658445715904235840e-03,-2.094781026244163513e-03,-3.555009141564369202e-03,-7.465709000825881958e-03,-1.759031787514686584e-03,-1.481989398598670959e-03,7.552795577794313431e-03,-2.034811303019523621e-03,2.919854596257209778e-03
2.621196676045656204e-03,6.961662322282791138e-03,6.708210334181785583e-03,-1.853643916547298431e-03,-3.885525511577725410e-04,-3.263042774051427841e-03,-9.878849610686302185e-03,5.892094224691390991e-03,4.015939775854349136e-03,-7.061013020575046539e-03,-3.397301770746707916e-04,-1.748452708125114441e-02,3.761867061257362366e-03,-1.262312289327383041e-04,-1.447640359401702881e-03,1.480230689048767090e-02,-8.712103590369224548e-04,-9.352185130119323730e-01,-2.894052071496844292e-03,-2.188675571233034134e-03,5.161454901099205017e-04,3.092856146395206451e-03,6.632532924413681030e-03,8.150212466716766357e-03,-2.029426395893096924e-03,-4.135206341743469238e-03,-9.129106998443603516e-03,-8.060852065682411194e-03,1.550203189253807068e-03,8.103065192699432373e-03,-1.972243189811706543e-04,3.067048266530036926e-03
4.190717358142137527e-03,6.502542644739151001e-03,3.596810624003410339e-03,-2.762182266451418400e-04,-3.055828856304287910e-04,-5.985377356410026550e-04,-1.322783902287483215e-02,1.108990330249071121e-02,4.131178837269544601e-03,-7.111253682523965836e-03,-1.780612859874963760e-03,-1.285189762711524963e-02,1.782595994882285595e-03,-6.251476705074310303e-03,-2.442982047796249390e-03,2.507566288113594055e-02,8.090948686003684998e-04,-7.559811472892761230e-01,-2.026692731305956841e-03,-3.584156278520822525e-03,2.285136841237545013e-03,5.007364787161350250e-03,1.190837845206260681e-02,3.399476408958435059e-03,-3.243215382099151611e-03,-5.363976582884788513e-03,-6.580159068107604980e-03,-7.313119247555732727e-03,-2.317452803254127502e-03,7.523961830884218216e-03,-2.922248095273971558e-03,3.642739728093147278e-03
